User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact,Gaming_Intensity,Sleep_Quality,Overall_Performance,Age_Group,High_Stress,Performance_Category
U0077,18,Female,Student,Strategy,2.3,16.1,Evening,5.5,3,4,91,95,Neutral,Moderate (2-4h),Adequate (5-7h),93.0,18-22,False,Excellent
U0078,33,Male,Working Professional,Puzzle,3.4,23.8,Evening,6.3,6,4,92,93,Neutral,Moderate (2-4h),Adequate (5-7h),92.5,33+,False,Excellent
U0079,27,Female,Student,Sports,2.3,16.1,Morning,7.2,4,5,81,83,Neutral,Moderate (2-4h),Good (7h+),82.0,23-27,False,High
U0080,35,Female,Working Professional,Action,2.2,15.4,Morning,5.8,8,9,87,82,Neutral,Moderate (2-4h),Adequate (5-7h),84.5,33+,True,High
U0081,24,Female,Student,Puzzle,3.4,23.8,Evening,7.0,9,8,83,78,Neutral,Moderate (2-4h),Adequate (5-7h),80.5,23-27,True,High
U0082,23,Female,Student,Simulation,5.3,37.1,Evening,6.4,2,8,93,91,Neutral,Heavy (4-6h),Adequate (5-7h),92.0,23-27,False,Excellent
U0083,22,Female,Working Professional,Simulation,1.0,7.0,Night,8.5,3,6,62,67,Positive,Light (0-2h),Good (7h+),64.5,18-22,False,Medium
U0084,22,Female,Student,Simulation,2.0,14.0,Night,7.8,9,4,84,87,Positive,Light (0-2h),Good (7h+),85.5,18-22,True,High
U0085,34,Female,Student,Puzzle,4.6,32.2,Night,5.0,3,5,81,81,Negative,Heavy (4-6h),Poor (<5h),81.0,33+,False,High
U0086,35,Female,Working Professional,Puzzle,2.1,14.7,Night,6.8,9,9,64,66,Neutral,Moderate (2-4h),Adequate (5-7h),65.0,33+,True,Medium
U0087,30,Male,Working Professional,Action,4.7,32.9,Evening,6.0,7,9,67,65,Neutral,Heavy (4-6h),Adequate (5-7h),66.0,28-32,True,Medium
U0088,19,Male,Working Professional,Action,4.6,32.2,Evening,7.3,8,6,64,66,Neutral,Heavy (4-6h),Good (7h+),65.0,18-22,True,Medium
U0089,22,Male,Working Professional,Puzzle,1.0,7.0,Evening,8.1,2,8,64,65,Positive,Light (0-2h),Good (7h+),64.5,18-22,False,Medium
U0090,35,Female,Working Professional,Casual,3.9,27.3,Night,6.1,3,9,76,81,Neutral,Moderate (2-4h),Adequate (5-7h),78.5,33+,False,High
U0091,27,Male,Student,Sports,5.4,37.8,Morning,6.5,2,7,59,57,Neutral,Heavy (4-6h),Adequate (5-7h),58.0,23-27,False,Low
U0092,18,Male,Working Professional,Action,4.7,32.9,Evening,7.3,3,6,65,64,Neutral,Heavy (4-6h),Good (7h+),64.5,18-22,False,Medium
U0093,23,Male,Student,Action,2.5,17.5,Night,6.2,5,7,81,85,Neutral,Moderate (2-4h),Adequate (5-7h),83.0,23-27,False,High
U0094,25,Female,Working Professional,Sports,5.3,37.1,Evening,7.0,5,6,92,89,Neutral,Heavy (4-6h),Adequate (5-7h),90.5,23-27,False,Excellent
U0095,20,Female,Working Professional,Simulation,4.2,29.4,Evening,8.1,9,5,89,86,Neutral,Heavy (4-6h),Good (7h+),87.5,18-22,True,High
U0096,30,Female,Student,Strategy,4.0,28.0,Evening,6.2,6,6,74,72,Neutral,Moderate (2-4h),Adequate (5-7h),73.0,28-32,False,Medium
U0097,18,Male,Working Professional,Puzzle,3.6,25.2,Morning,6.8,6,3,80,79,Neutral,Moderate (2-4h),Adequate (5-7h),79.5,18-22,False,High
U0098,22,Male,Student,Puzzle,3.8,26.6,Evening,5.9,5,7,71,76,Neutral,Moderate (2-4h),Adequate (5-7h),73.5,18-22,False,Medium
U0099,31,Male,Student,Strategy,0.7,4.9,Night,6.0,4,3,73,73,Neutral,Light (0-2h),Adequate (5-7h),73.0,28-32,False,Medium
U0100,33,Female,Working Professional,Action,5.3,37.1,Evening,6.0,6,9,65,64,Neutral,Heavy (4-6h),Adequate (5-7h),64.5,33+,False,Medium
U0101,29,Male,Working Professional,Action,5.8,40.6,Evening,5.1,5,9,80,83,Negative,Heavy (4-6h),Adequate (5-7h),81.5,28-32,False,High
U0102,29,Male,Student,Sports,3.5,24.5,Morning,6.3,6,7,79,84,Neutral,Moderate (2-4h),Adequate (5-7h),81.5,28-32,False,High
U0103,20,Female,Working Professional,Casual,3.9,27.3,Evening,8.3,7,7,69,74,Neutral,Moderate (2-4h),Good (7h+),71.5,18-22,True,Medium
U0104,21,Male,Student,Sports,1.1,7.7,Evening,4.7,2,5,86,82,Neutral,Light (0-2h),Poor (<5h),84.0,18-22,False,High
U0105,21,Female,Working Professional,Puzzle,2.5,17.5,Morning,8.3,8,7,64,65,Neutral,Moderate (2-4h),Good (7h+),64.5,18-22,True,Medium
U0106,29,Female,Student,Sports,4.3,30.1,Evening,5.4,9,4,78,74,Negative,Heavy (4-6h),Adequate (5-7h),76.0,28-32,True,High
U0107,18,Male,Working Professional,Strategy,1.5,10.5,Morning,5.0,9,3,68,73,Neutral,Light (0-2h),Poor (<5h),70.5,18-22,True,Medium
U0108,28,Male,Student,Puzzle,4.8,33.6,Morning,5.3,5,7,68,66,Negative,Heavy (4-6h),Adequate (5-7h),67.0,28-32,False,Medium
U0109,18,Female,Student,Simulation,5.9,41.3,Evening,6.7,4,3,56,53,Neutral,Heavy (4-6h),Adequate (5-7h),54.5,18-22,False,Low
U0110,21,Male,Working Professional,Sports,0.6,4.2,Evening,5.6,4,8,81,84,Neutral,Light (0-2h),Adequate (5-7h),82.5,18-22,False,High
U0111,34,Female,Working Professional,Casual,3.3,23.1,Morning,4.9,5,7,57,62,Neutral,Moderate (2-4h),Poor (<5h),59.5,33+,False,Low
U0112,32,Male,Student,Puzzle,0.8,5.6,Night,6.4,8,6,61,63,Neutral,Light (0-2h),Adequate (5-7h),62.0,28-32,True,Medium
U0113,27,Female,Working Professional,Action,1.3,9.1,Night,5.0,7,6,93,96,Neutral,Light (0-2h),Poor (<5h),94.5,23-27,True,Excellent
U0114,31,Female,Working Professional,Sports,1.1,7.7,Evening,7.1,5,6,83,81,Positive,Light (0-2h),Good (7h+),82.0,28-32,False,High
U0115,22,Female,Student,Action,4.5,31.5,Morning,5.8,7,8,71,71,Negative,Heavy (4-6h),Adequate (5-7h),71.0,18-22,True,Medium
U0116,19,Female,Student,Sports,1.0,7.0,Evening,4.9,7,9,63,66,Neutral,Light (0-2h),Poor (<5h),64.5,18-22,True,Medium
U0117,27,Female,Student,Simulation,5.3,37.1,Night,8.3,8,9,58,57,Neutral,Heavy (4-6h),Good (7h+),57.5,23-27,True,Low
U0118,35,Female,Student,Puzzle,1.7,11.9,Night,7.1,5,9,61,61,Positive,Light (0-2h),Good (7h+),61.0,33+,False,Medium
U0119,23,Female,Working Professional,Puzzle,1.7,11.9,Evening,6.2,2,7,72,67,Neutral,Light (0-2h),Adequate (5-7h),69.5,23-27,False,Medium
U0120,18,Male,Student,Sports,0.5,3.5,Evening,8.0,8,3,64,69,Positive,Light (0-2h),Good (7h+),66.5,18-22,True,Medium
U0121,20,Male,Student,Strategy,3.0,21.0,Night,5.1,6,8,75,79,Neutral,Moderate (2-4h),Adequate (5-7h),77.0,18-22,False,High
U0122,32,Female,Working Professional,Strategy,0.8,5.6,Night,4.8,9,8,82,84,Neutral,Light (0-2h),Poor (<5h),83.0,28-32,True,High
U0123,34,Female,Student,Strategy,1.1,7.7,Evening,6.2,6,8,92,94,Neutral,Light (0-2h),Adequate (5-7h),93.0,33+,False,Excellent
U0124,26,Female,Working Professional,Action,5.9,41.3,Morning,4.7,5,5,68,65,Negative,Heavy (4-6h),Poor (<5h),66.5,23-27,False,Medium
U0125,34,Female,Student,Sports,3.2,22.4,Night,6.2,4,6,89,87,Neutral,Moderate (2-4h),Adequate (5-7h),88.0,33+,False,High
U0126,31,Female,Working Professional,Puzzle,0.7,4.9,Morning,4.6,3,9,75,79,Neutral,Light (0-2h),Poor (<5h),77.0,28-32,False,High
U0127,29,Male,Working Professional,Action,2.7,18.9,Morning,8.4,4,9,94,96,Neutral,Moderate (2-4h),Good (7h+),95.0,28-32,False,Excellent
U0128,25,Female,Student,Action,2.9,20.3,Night,6.1,3,6,74,74,Neutral,Moderate (2-4h),Adequate (5-7h),74.0,23-27,False,Medium
U0129,22,Male,Student,Strategy,4.0,28.0,Evening,6.6,5,9,77,77,Neutral,Moderate (2-4h),Adequate (5-7h),77.0,18-22,False,High
U0130,32,Female,Working Professional,Casual,1.6,11.2,Evening,6.9,3,4,95,97,Neutral,Light (0-2h),Adequate (5-7h),96.0,28-32,False,Excellent
U0131,19,Female,Student,Puzzle,1.3,9.1,Evening,4.8,9,8,74,73,Neutral,Light (0-2h),Poor (<5h),73.5,18-22,True,Medium
U0132,34,Female,Working Professional,Simulation,3.0,21.0,Night,4.7,6,3,60,64,Neutral,Moderate (2-4h),Poor (<5h),62.0,33+,False,Medium
U0133,24,Female,Working Professional,Simulation,5.7,39.9,Morning,7.5,2,6,91,96,Neutral,Heavy (4-6h),Good (7h+),93.5,23-27,False,Excellent
U0134,23,Male,Student,Casual,5.8,40.6,Evening,6.3,7,8,60,63,Neutral,Heavy (4-6h),Adequate (5-7h),61.5,23-27,True,Medium
U0135,30,Female,Working Professional,Casual,6.0,42.0,Night,6.6,4,5,78,77,Neutral,Heavy (4-6h),Adequate (5-7h),77.5,28-32,False,High
U0136,35,Female,Working Professional,Puzzle,0.8,5.6,Night,7.0,7,3,76,72,Positive,Light (0-2h),Adequate (5-7h),74.0,33+,True,Medium
U0137,22,Female,Working Professional,Casual,5.2,36.4,Night,8.4,4,5,60,64,Neutral,Heavy (4-6h),Good (7h+),62.0,18-22,False,Medium
U0138,28,Male,Student,Casual,4.1,28.7,Night,5.0,3,5,90,91,Negative,Heavy (4-6h),Poor (<5h),90.5,28-32,False,Excellent
U0139,28,Female,Student,Strategy,2.8,19.6,Morning,5.9,7,5,66,64,Neutral,Moderate (2-4h),Adequate (5-7h),65.0,28-32,True,Medium
U0140,19,Female,Student,Simulation,1.4,9.8,Evening,5.7,3,7,89,92,Neutral,Light (0-2h),Adequate (5-7h),90.5,18-22,False,Excellent
U0141,31,Female,Student,Sports,1.3,9.1,Night,5.2,4,8,83,78,Neutral,Light (0-2h),Adequate (5-7h),80.5,28-32,False,High
U0142,27,Female,Student,Puzzle,2.1,14.7,Night,7.5,9,4,89,87,Neutral,Moderate (2-4h),Good (7h+),88.0,23-27,True,High
U0143,34,Female,Student,Strategy,5.7,39.9,Night,8.4,9,9,73,74,Neutral,Heavy (4-6h),Good (7h+),73.5,33+,True,Medium
U0144,21,Male,Working Professional,Action,1.3,9.1,Morning,5.5,9,9,78,81,Neutral,Light (0-2h),Adequate (5-7h),79.5,18-22,True,High
U0145,25,Female,Working Professional,Action,2.0,14.0,Evening,8.1,4,9,82,78,Positive,Light (0-2h),Good (7h+),80.0,23-27,False,High
U0146,25,Male,Working Professional,Action,0.8,5.6,Night,6.5,5,6,60,60,Neutral,Light (0-2h),Adequate (5-7h),60.0,23-27,False,Low
U0147,22,Female,Working Professional,Simulation,4.1,28.7,Morning,7.7,4,3,73,75,Neutral,Heavy (4-6h),Good (7h+),74.0,18-22,False,Medium
U0148,34,Female,Student,Puzzle,5.5,38.5,Morning,4.6,5,9,64,67,Negative,Heavy (4-6h),Poor (<5h),65.5,33+,False,Medium
U0149,20,Male,Working Professional,Simulation,2.2,15.4,Night,4.7,8,8,94,96,Neutral,Moderate (2-4h),Poor (<5h),95.0,18-22,True,Excellent
U0150,31,Male,Working Professional,Strategy,0.6,4.2,Night,6.6,5,8,64,63,Neutral,Light (0-2h),Adequate (5-7h),63.5,28-32,False,Medium
U0151,34,Male,Working Professional,Sports,2.8,19.6,Morning,7.2,3,7,78,74,Neutral,Moderate (2-4h),Good (7h+),76.0,33+,False,High
U0152,20,Female,Student,Casual,4.0,28.0,Night,8.4,6,8,56,56,Neutral,Moderate (2-4h),Good (7h+),56.0,18-22,False,Low
U0153,35,Female,Student,Casual,4.0,28.0,Evening,7.6,7,4,57,57,Neutral,Moderate (2-4h),Good (7h+),57.0,33+,True,Low
U0154,32,Male,Working Professional,Strategy,5.9,41.3,Morning,6.4,4,9,63,59,Neutral,Heavy (4-6h),Adequate (5-7h),61.0,28-32,False,Medium
U0155,35,Female,Working Professional,Action,4.9,34.3,Night,8.0,7,5,87,88,Neutral,Heavy (4-6h),Good (7h+),87.5,33+,True,High
U0156,21,Female,Working Professional,Sports,1.6,11.2,Night,5.9,2,9,76,75,Neutral,Light (0-2h),Adequate (5-7h),75.5,18-22,False,High
U0157,29,Female,Student,Casual,2.9,20.3,Evening,8.3,7,4,86,88,Neutral,Moderate (2-4h),Good (7h+),87.0,28-32,True,High
U0158,21,Male,Working Professional,Casual,0.9,6.3,Evening,6.9,4,7,73,73,Neutral,Light (0-2h),Adequate (5-7h),73.0,18-22,False,Medium
U0159,32,Male,Working Professional,Simulation,2.2,15.4,Evening,6.9,8,4,83,83,Neutral,Moderate (2-4h),Adequate (5-7h),83.0,28-32,True,High
U0160,29,Male,Student,Strategy,2.0,14.0,Night,8.4,2,3,95,96,Positive,Light (0-2h),Good (7h+),95.5,28-32,False,Excellent
U0161,29,Female,Working Professional,Simulation,4.2,29.4,Morning,6.3,4,3,70,75,Neutral,Heavy (4-6h),Adequate (5-7h),72.5,28-32,False,Medium
U0162,22,Female,Working Professional,Puzzle,3.8,26.6,Night,7.2,7,5,83,79,Neutral,Moderate (2-4h),Good (7h+),81.0,18-22,True,High
U0163,34,Female,Student,Puzzle,2.0,14.0,Evening,8.3,2,8,66,68,Positive,Light (0-2h),Good (7h+),67.0,33+,False,Medium
U0164,21,Male,Student,Sports,4.4,30.8,Morning,5.4,6,8,86,84,Negative,Heavy (4-6h),Adequate (5-7h),85.0,18-22,False,High
U0165,29,Male,Working Professional,Puzzle,5.4,37.8,Morning,6.3,3,9,75,80,Neutral,Heavy (4-6h),Adequate (5-7h),77.5,28-32,False,High
U0166,25,Male,Student,Strategy,4.4,30.8,Morning,8.2,4,9,78,81,Neutral,Heavy (4-6h),Good (7h+),79.5,23-27,False,High
U0167,20,Male,Working Professional,Sports,4.8,33.6,Night,4.6,7,6,90,87,Negative,Heavy (4-6h),Poor (<5h),88.5,18-22,True,High
U0168,22,Female,Student,Sports,4.5,31.5,Evening,6.6,8,9,91,87,Neutral,Heavy (4-6h),Adequate (5-7h),89.0,18-22,True,High
U0169,34,Male,Student,Simulation,4.2,29.4,Morning,5.9,4,9,63,64,Negative,Heavy (4-6h),Adequate (5-7h),63.5,33+,False,Medium
U0170,20,Female,Student,Casual,2.2,15.4,Night,5.1,5,5,88,87,Neutral,Moderate (2-4h),Adequate (5-7h),87.5,18-22,False,High
U0171,22,Male,Working Professional,Simulation,2.0,14.0,Morning,7.0,3,7,65,69,Positive,Light (0-2h),Adequate (5-7h),67.0,18-22,False,Medium
U0172,24,Female,Student,Sports,5.0,35.0,Night,4.6,2,8,91,90,Negative,Heavy (4-6h),Poor (<5h),90.5,23-27,False,Excellent
U0173,30,Female,Working Professional,Action,3.5,24.5,Night,7.1,6,6,70,75,Neutral,Moderate (2-4h),Good (7h+),72.5,28-32,False,Medium
U0174,22,Female,Working Professional,Casual,0.8,5.6,Evening,6.3,9,6,68,68,Neutral,Light (0-2h),Adequate (5-7h),68.0,18-22,True,Medium
U0175,28,Male,Working Professional,Action,5.9,41.3,Evening,5.0,7,7,90,86,Negative,Heavy (4-6h),Poor (<5h),88.0,28-32,True,High
